taxon_species,taxon_genus,taxon_family,taxon_order,Maximum longevity (years),generation time (days)
Echinops telfairi,Echinops,Tenrecidae,,19,420
Hemicentetes semispinosus,Hemicentetes,Tenrecidae,,2.7,94
Nesogale dobsoni,Nesogale,Tenrecidae,,5.6,730
Nesogale talazaci,Nesogale,Tenrecidae,,5.8,700
Setifer setosus,Setifer,Tenrecidae,,14.1,252
Tenrec ecaudatus,Tenrec,Tenrecidae,,8.7,240
Antilocapra americana,Antilocapra,Antilocapridae,Artiodactyla,17,782
Addax nasomaculatus,Addax,Bovidae,Artiodactyla,28,1347
Aepyceros melampus,Aepyceros,Bovidae,Artiodactyla,25.6,654
Alcelaphus buselaphus,Alcelaphus,Bovidae,Artiodactyla,22.5,977
Ammotragus lervia,Ammotragus,Bovidae,Artiodactyla,21.7,484
Antidorcas marsupialis,Antidorcas,Bovidae,Artiodactyla,19.8,381
Antilope cervicapra,Antilope,Bovidae,Artiodactyla,23.9,634
Bison bison,Bison,Bovidae,Artiodactyla,33.5,1186
Bison bonasus,Bison,Bovidae,Artiodactyla,26.4,1000
Bos frontalis,Bos,Bovidae,Artiodactyla,26.2,865
Bos grunniens,Bos,Bovidae,Artiodactyla,26.3,1012
Bos javanicus,Bos,Bovidae,Artiodactyla,27.1,1025
Bos taurus,Bos,Bovidae,Artiodactyla,20,825
Boselaphus tragocamelus,Boselaphus,Bovidae,Artiodactyla,21.7,1070
Bubalus bubalis,Bubalus,Bovidae,Artiodactyla,34.9,813
Bubalus depressicornis,Bubalus,Bovidae,Artiodactyla,36.1,1030
Bubalus quarlesi,Bubalus,Bovidae,Artiodactyla,29.2,1050
Budorcas taxicolor,Budorcas,Bovidae,Artiodactyla,21.9,940
Capra caucasica,Capra,Bovidae,Artiodactyla,19.3,1047
Capra cylindricornis,Capra,Bovidae,Artiodactyla,20.2,1180
Capra falconeri,Capra,Bovidae,Artiodactyla,19.1,908
Capra hircus,Capra,Bovidae,Artiodactyla,20.8,561
Capra ibex,Capra,Bovidae,Artiodactyla,21,966
Capra nubiana,Capra,Bovidae,Artiodactyla,22.4,968
Capra sibirica,Capra,Bovidae,Artiodactyla,22.3,972
Capricornis crispus,Capricornis,Bovidae,Artiodactyla,24,1310
Capricornis sumatraensis,Capricornis,Bovidae,Artiodactyla,18.5,1125
Cephalophus dorsalis,Cephalophus,Bovidae,Artiodactyla,17.5,814
Cephalophorus rufilatus,Cephalophorus,Bovidae,Artiodactyla,15.2,500
Connochaetes gnou,Connochaetes,Bovidae,Artiodactyla,21.8,1022
Connochaetes taurinus,Connochaetes,Bovidae,Artiodactyla,24.3,664
Damaliscus lunatus,Damaliscus,Bovidae,Artiodactyla,35,877
Damaliscus pygargus,Damaliscus,Bovidae,Artiodactyla,23,950
Eudorcas rufifrons,Eudorcas,Bovidae,Artiodactyla,14.5,540
Eudorcas thomsonii,Eudorcas,Bovidae,Artiodactyla,20,535
Gazella cuvieri,Gazella,Bovidae,Artiodactyla,17.9,520
Gazella dorcas,Gazella,Bovidae,Artiodactyla,23.7,912
Gazella gazella,Gazella,Bovidae,Artiodactyla,18.3,656
Gazella leptoceros,Gazella,Bovidae,Artiodactyla,14.6,333
Gazella saudiya,Gazella,Bovidae,Artiodactyla,21,655
Gazella subgutturosa,Gazella,Bovidae,Artiodactyla,16.3,821
Hemitragus hylocrius,Hemitragus,Bovidae,Artiodactyla,17.3,857
Hemitragus jemlahicus,Hemitragus,Bovidae,Artiodactyla,24,730
Hippotragus equinus,Hippotragus,Bovidae,Artiodactyla,25.9,1014
Hippotragus niger,Hippotragus,Bovidae,Artiodactyla,22.2,1039
Kobus ellipsiprymnus,Kobus,Bovidae,Artiodactyla,30,1035
Kobus kob,Kobus,Bovidae,Artiodactyla,21.9,654
Kobus leche,Kobus,Bovidae,Artiodactyla,27,1127
Kobus megaceros,Kobus,Bovidae,Artiodactyla,21.1,965
Litocranius walleri,Litocranius,Bovidae,Artiodactyla,17.3,563
Madoqua guentheri,Madoqua,Bovidae,Artiodactyla,17.5,317
Madoqua kirkii,Madoqua,Bovidae,Artiodactyla,17.3,385
Naemorhedus baileyi,Naemorhedus,Bovidae,Artiodactyla,19,1163
Naemorhedus caudatus,Naemorhedus,Bovidae,Artiodactyla,20.3,1165
Naemorhedus goral,Naemorhedus,Bovidae,Artiodactyla,17.6,715
Nanger dama,Nanger,Bovidae,Artiodactyla,19.3,317
Nanger granti,Nanger,Bovidae,Artiodactyla,23,447
Nanger soemmerringii,Nanger,Bovidae,Artiodactyla,15.5,830
Neotragus moschatus,Neotragus,Bovidae,Artiodactyla,13.5,363
Neotragus pygmaeus,Neotragus,Bovidae,Artiodactyla,11.1,670
Oreamnos americanus,Oreamnos,Bovidae,Artiodactyla,20.8,1096
Oreotragus oreotragus,Oreotragus,Bovidae,Artiodactyla,25.9,561
Oryx dammah,Oryx,Bovidae,Artiodactyla,27.5,886
Oryx gazella,Oryx,Bovidae,Artiodactyla,23.8,820
Oryx leucoryx,Oryx,Bovidae,Artiodactyla,20.8,1037
Ourebia ourebi,Ourebia,Bovidae,Artiodactyla,15.9,497
Ovibos moschatus,Ovibos,Bovidae,Artiodactyla,27.4,1354
Ovis ammon,Ovis,Bovidae,Artiodactyla,16.8,573
Ovis aries,Ovis,Bovidae,Artiodactyla,22.8,694
Ovis canadensis,Ovis,Bovidae,Artiodactyla,20.6,887
Ovis dalli,Ovis,Bovidae,Artiodactyla,19.6,857
Philantomba maxwellii,Philantomba,Bovidae,Artiodactyla,18.3,850
Philantomba monticola,Philantomba,Bovidae,Artiodactyla,15.9,680
Procapra gutturosa,Procapra,Bovidae,Artiodactyla,12,717
Pseudois nayaur,Pseudois,Bovidae,Artiodactyla,20.9,890
Raphicerus campestris,Raphicerus,Bovidae,Artiodactyla,9.3,435
Redunca fulvorufula,Redunca,Bovidae,Artiodactyla,15,604
Rupicapra rupicapra,Rupicapra,Bovidae,Artiodactyla,17.6,796
Sylvicapra grimmia,Sylvicapra,Bovidae,Artiodactyla,15.4,420
Syncerus caffer,Syncerus,Bovidae,Artiodactyla,32.8,1806
Taurotragus derbianus,Taurotragus,Bovidae,Artiodactyla,20.3,1371
Tragelaphus oryx,Tragelaphus,Bovidae,Artiodactyla,26.1,863
Tetracerus quadricornis,Tetracerus,Bovidae,Artiodactyla,17.4,577
Tragelaphus angasii,Tragelaphus,Bovidae,Artiodactyla,23,676
Tragelaphus eurycerus,Tragelaphus,Bovidae,Artiodactyla,22,1094
Tragelaphus imberbis,Tragelaphus,Bovidae,Artiodactyla,19.8,739
Tragelaphus scriptus,Tragelaphus,Bovidae,Artiodactyla,15.3,684
Tragelaphus spekii,Tragelaphus,Bovidae,Artiodactyla,22.6,643
Tragelaphus strepsiceros,Tragelaphus,Bovidae,Artiodactyla,23.5,745
Camelus bactrianus,Camelus,Camelidae,Artiodactyla,35.4,1673
Camelus dromedarius,Camelus,Camelidae,Artiodactyla,28.4,1500
Lama glama,Lama,Camelidae,Artiodactyla,28.9,1130
Lama guanicoe,Lama,Camelidae,Artiodactyla,33.7,700
Vicugna pacos,Vicugna,Camelidae,Artiodactyla,25.8,777
Vicugna vicugna,Vicugna,Camelidae,Artiodactyla,31.6,1070
Axis axis,Axis,Cervidae,Artiodactyla,20.8,992
Axis kuhlii,Axis,Cervidae,Artiodactyla,17.8,531
Axis porcinus,Axis,Cervidae,Artiodactyla,22.9,536
Capreolus capreolus,Capreolus,Cervidae,Artiodactyla,17.5,566
Cervus elaphus,Cervus,Cervidae,Artiodactyla,31.5,1097
Cervus nippon,Cervus,Cervidae,Artiodactyla,26.3,710
Dama dama,Dama,Cervidae,Artiodactyla,27,720
Elaphodus cephalophus,Elaphodus,Cervidae,Artiodactyla,22.7,819
Elaphurus davidianus,Elaphurus,Cervidae,Artiodactyla,27.5,1109
Hydropotes inermis,Hydropotes,Cervidae,Artiodactyla,13.9,373
Mazama americana,Mazama,Cervidae,Artiodactyla,17.1,620
Muntiacus muntjak,Muntiacus,Cervidae,Artiodactyla,18.8,482
Muntiacus reevesi,Muntiacus,Cervidae,Artiodactyla,23.2,473
Odocoileus hemionus,Odocoileus,Cervidae,Artiodactyla,22,685
Odocoileus virginianus,Odocoileus,Cervidae,Artiodactyla,23,507
Ozotoceros bezoarticus,Ozotoceros,Cervidae,Artiodactyla,21.9,578
Pudu puda,Pudu,Cervidae,Artiodactyla,18.3,474
Rangifer tarandus,Rangifer,Cervidae,Artiodactyla,21.8,890
Rucervus duvaucelii,Rucervus,Cervidae,Artiodactyla,24.5,1345
Rucervus eldii,Rucervus,Cervidae,Artiodactyla,20.5,749
Rusa alfredi,Rusa,Cervidae,Artiodactyla,18.5,838
Rusa timorensis,Rusa,Cervidae,Artiodactyla,21.1,715
Rusa unicolor,Rusa,Cervidae,Artiodactyla,26.4,882
Giraffa camelopardalis,Giraffa,Giraffidae,Artiodactyla,39.5,1735
Okapia johnstoni,Okapia,Giraffidae,Artiodactyla,33.5,1036
Hexaprotodon liberiensis,Hexaprotodon,Hippopotamidae,Artiodactyla,42.3,1477
Hippopotamus amphibius,Hippopotamus,Hippopotamidae,Artiodactyla,61.2,1513
Babyrousa babyrussa,Babyrousa,Suidae,Artiodactyla,22.9,701
Phacochoerus africanus,Phacochoerus,Suidae,Artiodactyla,30,742
Potamochoerus porcus,Potamochoerus,Suidae,Artiodactyla,22,1218
Sus barbatus,Sus,Suidae,Artiodactyla,16.2,484
Porcula salvania,Porcula,Suidae,Artiodactyla,14,808
Sus scrofa,Sus,Suidae,Artiodactyla,27,449
Sus verrucosus,Sus,Suidae,Artiodactyla,17,394
Pecari tajacu,Pecari,Tayassuidae,Artiodactyla,31.5,474
Tayassu pecari,Tayassu,Tayassuidae,Artiodactyla,28.5,706
Tragulus javanicus,Tragulus,Tragulidae,Artiodactyla,14,311
Tragulus napu,Tragulus,Tragulidae,Artiodactyla,16.7,290
Ailurus fulgens,Ailurus,Ailuridae,Carnivora,19,666
Canis adustus,Canis,Canidae,Carnivora,13.7,338
Canis aureus,Canis,Canidae,Carnivora,18.8,397
Canis latrans,Canis,Canidae,Carnivora,21.8,337
Canis lupus,Canis,Canidae,Carnivora,20.6,731
Canis mesomelas,Canis,Canidae,Carnivora,16.7,369
Cerdocyon thous,Cerdocyon,Canidae,Carnivora,12.7,329
Chrysocyon brachyurus,Chrysocyon,Canidae,Carnivora,16.8,794
Cuon alpinus,Cuon,Canidae,Carnivora,16.1,426
Lycalopex culpaeus,Lycalopex,Canidae,Carnivora,13.1,426
Lycalopex gymnocercus,Lycalopex,Canidae,Carnivora,13.7,361
Lycalopex vetulus,Lycalopex,Canidae,Carnivora,12.6,332
Lycaon pictus,Lycaon,Canidae,Carnivora,17,711
Nyctereutes procyonoides,Nyctereutes,Canidae,Carnivora,16.6,365
Otocyon megalotis,Otocyon,Canidae,Carnivora,17,433
Speothos venaticus,Speothos,Canidae,Carnivora,14.1,372
Urocyon cinereoargenteus,Urocyon,Canidae,Carnivora,16.2,402
Vulpes corsac,Vulpes,Canidae,Carnivora,13,557
Vulpes lagopus,Vulpes,Canidae,Carnivora,16.3,356
Vulpes macrotis,Vulpes,Canidae,Carnivora,15.8,419
Vulpes pallida,Vulpes,Canidae,Carnivora,16,365
Vulpes rueppellii,Vulpes,Canidae,Carnivora,14.3,418
Vulpes velox,Vulpes,Canidae,Carnivora,15.9,420
Vulpes vulpes,Vulpes,Canidae,Carnivora,21.3,356
Vulpes zerda,Vulpes,Canidae,Carnivora,16.3,325
Cryptoprocta ferox,Cryptoprocta,Eupleridae,Carnivora,23.1,1586
Fossa fossana,Fossa,Eupleridae,Carnivora,21.4,810
Galidia elegans,Galidia,Eupleridae,Carnivora,26,809
Acinonyx jubatus,Acinonyx,Felidae,Carnivora,20.5,544
Caracal caracal,Caracal,Felidae,Carnivora,20.3,530
Catopuma temminckii,Catopuma,Felidae,Carnivora,23,734
Felis catus,Felis,Felidae,Carnivora,30,354
Felis chaus,Felis,Felidae,Carnivora,20,395
Otocolobus manul,Otocolobus,Felidae,Carnivora,15.9,437
Felis margarita,Felis,Felidae,Carnivora,13.9,341
Felis nigripes,Felis,Felidae,Carnivora,15.6,511
Felis silvestris,Felis,Felidae,Carnivora,19,368
Leopardus geoffroyi,Leopardus,Felidae,Carnivora,23,554
Leopardus pardalis,Leopardus,Felidae,Carnivora,28.2,677
Leopardus wiedii,Leopardus,Felidae,Carnivora,24,740
Leptailurus serval,Leptailurus,Felidae,Carnivora,22.4,891
Lynx canadensis,Lynx,Felidae,Carnivora,26.8,561
Lynx lynx,Lynx,Felidae,Carnivora,26,705
Lynx rufus,Lynx,Felidae,Carnivora,32.3,430
Neofelis nebulosa,Neofelis,Felidae,Carnivora,19.8,819
Panthera leo,Panthera,Felidae,Carnivora,28,1204
Panthera onca,Panthera,Felidae,Carnivora,28,829
Panthera pardus,Panthera,Felidae,Carnivora,27.3,1034
Panthera tigris,Panthera,Felidae,Carnivora,26.3,1373
Prionailurus bengalensis,Prionailurus,Felidae,Carnivora,17,427
Profelis aurata,Profelis,Felidae,Carnivora,21,732
Puma concolor,Puma,Felidae,Carnivora,27,1004
Puma yagouaroundi,Puma,Felidae,Carnivora,18.6,876
Panthera uncia,Panthera,Felidae,Carnivora,21.2,826
Atilax paludinosus,Atilax,Herpestidae,Carnivora,20.8,311
Crossarchus obscurus,Crossarchus,Herpestidae,Carnivora,13.3,332
Cynictis penicillata,Cynictis,Herpestidae,Carnivora,15.2,786
Galerella sanguinea,Galerella,Herpestidae,Carnivora,12.6,430
Helogale parvula,Helogale,Herpestidae,Carnivora,20,511
Herpestes edwardsi,Herpestes,Herpestidae,Carnivora,12.3,370
Urva javanica,Urva,Herpestidae,Carnivora,16.6,350
Mungos mungo,Mungos,Herpestidae,Carnivora,17.4,349
Suricata suricatta,Suricata,Herpestidae,Carnivora,20.6,442
Crocuta crocuta,Crocuta,Hyaenidae,Carnivora,41.1,1205
Parahyaena brunnea,Parahyaena,Hyaenidae,Carnivora,31.9,1092
Hyaena hyaena,Hyaena,Hyaenidae,Carnivora,25,890
Proteles cristata,Proteles,Hyaenidae,Carnivora,20,715
Conepatus leuconotus,Conepatus,Mephitidae,Carnivora,10.2,375
Mephitis mephitis,Mephitis,Mephitidae,Carnivora,13.9,398
Spilogale putorius,Spilogale,Mephitidae,Carnivora,10.5,183
Aonyx capensis,Aonyx,Mustelidae,Carnivora,14.2,428
Aonyx cinereus,Aonyx,Mustelidae,Carnivora,23,793
Eira barbara,Eira,Mustelidae,Carnivora,22.3,766
Enhydra lutris,Enhydra,Mustelidae,Carnivora,27,1114
Gulo gulo,Gulo,Mustelidae,Carnivora,19.5,745
Hydrictis maculicollis,Hydrictis,Mustelidae,Carnivora,22.9,903
Ictonyx striatus,Ictonyx,Mustelidae,Carnivora,14,340
Lontra canadensis,Lontra,Mustelidae,Carnivora,27,792
Lutra lutra,Lutra,Mustelidae,Carnivora,18.2,609
Martes americana,Martes,Mustelidae,Carnivora,17.8,393
Martes flavigula,Martes,Mustelidae,Carnivora,16,1413
Martes foina,Martes,Mustelidae,Carnivora,18.2,578
Martes martes,Martes,Mustelidae,Carnivora,18.2,484
Pekania pennanti,Pekania,Mustelidae,Carnivora,14.3,410
Martes zibellina,Martes,Mustelidae,Carnivora,18.4,486
Meles meles,Meles,Mustelidae,Carnivora,18.6,414
Mustela erminea,Mustela,Mustelidae,Carnivora,12.5,138
Mustela frenata,Mustela,Mustelidae,Carnivora,8.8,187
Mustela lutreola,Mustela,Mustelidae,Carnivora,8.4,377
Mustela nigripes,Mustela,Mustelidae,Carnivora,9.4,408
Mustela nivalis,Mustela,Mustelidae,Carnivora,9.1,156
Mustela putorius,Mustela,Mustelidae,Carnivora,11.1,354
Neogale vison,Neogale,Mustelidae,Carnivora,11.4,376
Pteronura brasiliensis,Pteronura,Mustelidae,Carnivora,17.3,798
Taxidea taxus,Taxidea,Mustelidae,Carnivora,25,224
Vormela peregusna,Vormela,Mustelidae,Carnivora,8.8,152
Nandinia binotata,Nandinia,Nandiniidae,Carnivora,21,1159
Arctocephalus australis,Arctocephalus,Otariidae,Carnivora,30.6,1331
Arctocephalus pusillus,Arctocephalus,Otariidae,Carnivora,32.1,1644
Eumetopias jubatus,Eumetopias,Otariidae,Carnivora,32.8,2054
Neophoca cinerea,Neophoca,Otariidae,Carnivora,24.1,1353
Otaria byronia,Otaria,Otariidae,Carnivora,29,1818
Zalophus californianus,Zalophus,Otariidae,Carnivora,35.7,1354
Halichoerus grypus,Halichoerus,Phocidae,Carnivora,42.9,1700
Phoca vitulina,Phoca,Phocidae,Carnivora,47.6,1348
Pusa hispida,Pusa,Phocidae,Carnivora,46,2077
Pusa sibirica,Pusa,Phocidae,Carnivora,56,2402
Bassaricyon alleni,Bassaricyon,Procyonidae,Carnivora,25.2,725
Bassaricyon gabbii,Bassaricyon,Procyonidae,Carnivora,21.8,758
Bassariscus astutus,Bassariscus,Procyonidae,Carnivora,19,352
Bassariscus sumichrasti,Bassariscus,Procyonidae,Carnivora,24,364
Nasua narica,Nasua,Procyonidae,Carnivora,26.4,790
Nasua nasua,Nasua,Procyonidae,Carnivora,23.7,803
Potos flavus,Potos,Procyonidae,Carnivora,38.4,935
Procyon cancrivorus,Procyon,Procyonidae,Carnivora,19,428
Procyon lotor,Procyon,Procyonidae,Carnivora,21,428
Ailuropoda melanoleuca,Ailuropoda,Ursidae,Carnivora,36.8,2240
Helarctos malayanus,Helarctos,Ursidae,Carnivora,35.9,2467
Melursus ursinus,Melursus,Ursidae,Carnivora,33.3,1293
Tremarctos ornatus,Tremarctos,Ursidae,Carnivora,39,1689
Ursus americanus,Ursus,Ursidae,Carnivora,34,1348
Ursus arctos,Ursus,Ursidae,Carnivora,40,1416
Ursus maritimus,Ursus,Ursidae,Carnivora,43.8,1799
Ursus thibetanus,Ursus,Ursidae,Carnivora,39.2,1323
Arctictis binturong,Arctictis,Viverridae,Carnivora,27,1017
Arctogalidia trivirgata,Arctogalidia,Viverridae,Carnivora,16.1,1140
Civettictis civetta,Civettictis,Viverridae,Carnivora,28,430
Genetta genetta,Genetta,Viverridae,Carnivora,22.7,1557
Genetta tigrina,Genetta,Viverridae,Carnivora,21.3,1531
Paradoxurus hermaphroditus,Paradoxurus,Viverridae,Carnivora,24.5,401
Balaena mysticetus,Balaena,Balaenidae,Artiodactyla,211,8608
Eubalaena australis,Eubalaena,Balaenidae,Artiodactyla,70,3650
Eubalaena glacialis,Eubalaena,Balaenidae,Artiodactyla,67,3270
Balaenoptera acutorostrata,Balaenoptera,Balaenopteridae,Artiodactyla,50,3052
